Lote_Ancho(m),Lote_Largo(m),No. Habitaciones,No. Baños,Año_Construida,Capacidad_Garaje,Estrato,Precio_Casa
16,17,2,1,1981,0,5,720967.14
20,15,3,3,2016,1,6,990617.36
16,13,1,2,2016,0,9,774476.89
7,28,1,2,1977,1,8,671230.3
20,36,2,1,1993,0,8,1723658.47
6,27,5,3,1990,2,8,821658.63
8,23,1,2,2012,0,1,487792.13
19,21,1,1,1972,1,1,819674.35
11,32,3,3,1997,1,8,1113305.26
14,20,4,2,1981,2,5,887425.6
5,35,2,2,2006,1,9,737365.82
12,26,2,3,1982,0,2,763342.7
9,29,5,3,1973,2,9,1020419.62
14,14,5,3,1988,1,8,848867.2
17,25,2,3,1983,1,9,1208750.82
12,40,5,1,2005,0,4,1264377.12
8,39,3,3,1977,0,1,757871.69
10,30,2,2,1986,2,1,735142.47
19,28,5,2,1956,1,5,1346919.76
20,40,2,1,2017,0,2,1739876.96
5,31,4,2,1986,2,8,746656.49
11,19,1,2,2005,1,10,795742.24
8,23,2,3,2014,1,5,686675.28
6,36,1,2,2014,2,5,685752.52
13,18,5,1,1996,2,2,734556.17
10,31,1,3,1969,0,7,849109.23
15,31,2,3,1968,1,8,1234490.06
10,26,4,1,1978,1,10,939756.98
13,10,5,3,2009,1,1,561993.61
20,40,2,3,1967,2,2,1751083.06
10,40,5,1,1984,0,10,1241982.93
5,10,3,3,1992,1,4,402522.78
14,34,1,1,1960,2,5,1081865.03
17,27,3,1,1998,1,2,1083422.89
16,13,2,2,1987,0,1,518225.45
5,18,4,2,2013,1,9,653791.56
7,15,5,3,2018,0,1,518088.64
18,12,1,3,1957,0,4,526403.3
8,25,5,1,1983,1,2,612718.14
5,25,2,3,1997,1,4,505968.61
8,27,5,1,2005,0,8,869384.67
10,20,1,1,2014,2,8,729713.68
9,25,2,3,1980,0,9,798843.52
7,33,5,1,1953,1,5,714988.96
10,35,4,2,1999,1,7,1083214.78
10,27,2,3,2018,2,3,818801.56
19,37,2,2,1979,0,10,1749393.61
13,38,4,3,2008,0,4,1334571.22
18,11,3,1,2016,0,10,831436.18
14,40,1,3,1994,1,9,1460369.6
15,13,3,2,1953,0,10,729240.84
5,38,5,1,1975,2,10,846149.18
17,19,4,3,1976,1,1,841230.78
5,20,3,3,1995,1,2,436116.76
15,11,2,3,2013,0,5,636310.0
20,15,5,2,2000,2,3,949312.8
6,40,5,2,1999,1,2,759607.82
5,25,3,3,1955,1,1,366907.88
7,18,3,1,2008,0,10,671312.63
6,27,4,1,1964,0,3,491755.45
20,27,1,2,1979,2,1,1153208.26
13,18,3,1,1991,0,1,578143.41
9,33,3,2,1986,2,1,754936.65
10,35,2,3,1991,1,8,1050037.93
8,27,5,2,1984,2,3,748125.26
13,40,1,2,1955,2,1,1083562.4
19,30,2,3,2017,2,7,1543279.9
11,36,4,1,1967,1,10,1196035.33
17,40,4,2,2022,0,3,1667616.36
13,36,3,2,1978,1,8,1275548.8
18,27,3,3,2008,0,4,1271613.96
19,31,4,1,1996,2,4,1485380.37
19,22,3,2,1966,2,5,1087641.74
17,21,1,3,1971,2,6,971646.44
18,11,3,2,2017,2,7,783802.55
6,27,5,3,2018,2,4,768219.03
12,14,3,1,1986,0,8,648870.47
5,22,2,1,1998,0,6,453009.93
5,25,1,1,1962,2,1,264917.61
9,24,2,1,1983,1,1,488124.31
9,39,2,2,2002,1,9,1083803.28
13,20,5,2,2000,2,10,1073571.13
10,31,1,1,1952,0,6,738778.94
14,37,1,1,1991,1,10,1352817.3
9,25,1,1,1981,1,8,683915.06
16,15,1,2,2000,1,7,754982.43
17,32,1,1,1995,2,6,1327154.02
16,13,5,1,1970,1,4,679287.51
19,13,3,1,1993,1,7,804702.4
5,18,2,3,1960,1,9,515132.67
5,31,1,1,2017,1,10,684970.78
5,12,3,3,1950,0,10,489686.45
9,25,3,3,2012,2,7,876979.47
9,25,2,1,1973,2,1,522723.38
7,20,5,3,1962,0,10,740078.92
10,32,4,1,1960,0,9,955364.85
15,39,4,2,2000,2,4,1502961.2
9,26,3,2,1966,1,3,642610.55
18,35,2,2,1973,1,4,1436051.13
11,32,4,2,1968,2,4,967654.13
17,17,3,3,1986,1,10,1015846.29
11,38,5,1,1957,0,2,985793.55
18,12,4,1,1977,1,1,572572.85
19,10,3,1,1954,1,10,699977.23
11,37,3,2,1966,1,1,924387.14
7,19,1,2,1985,2,8,570040.51
14,20,5,1,1968,0,2,754861.86
5,17,1,2,2013,1,10,567745.78
7,11,2,1,1960,2,5,326575.5
20,24,1,1,2003,1,4,1125255.54
6,28,1,1,1994,0,8,564812.29
7,30,4,1,1996,1,2,631734.86
8,26,3,1,1961,0,10,738602.3
14,28,5,1,1970,1,9,1218632.42
20,32,1,1,1960,0,7,1428076.39
15,37,5,2,1954,1,7,1461015.47
9,38,1,1,2005,0,1,743652.88
8,30,2,1,1969,1,2,546313.22
20,32,1,2,1990,1,4,1461428.23
15,14,4,2,1995,2,4,747519.33
18,23,3,2,1961,2,3,1017910.32
12,36,2,1,2019,0,7,1162906.13
17,11,1,3,1966,1,8,660027.94
19,31,5,3,1968,0,2,1399981.49
16,17,2,2,1975,2,4,749868.57
18,14,2,3,1997,0,3,729904.56
16,14,1,2,2001,0,2,550094.64
13,10,2,1,2019,2,6,572337.02
8,40,5,3,2004,1,4,1028996.51
7,25,2,1,1982,0,6,548965.24
17,26,5,3,2011,2,2,1230493.37
6,19,1,1,1972,1,4,332685.63
8,31,3,3,1964,2,6,793376.96
11,26,2,1,1976,0,5,738735.92
7,23,3,1,2013,1,3,548805.76
10,35,5,3,2000,1,8,1215499.34
6,28,2,1,2002,2,7,642167.47
13,10,4,1,2000,2,3,526779.38
15,27,3,1,1996,2,6,1130135.17
17,40,2,3,1953,1,4,1513691.36
10,12,3,3,1956,1,5,484274.6
14,34,2,1,1984,0,5,1143071.43
20,19,1,1,1997,1,7,987925.17
15,36,3,3,2022,0,5,1435846.34
19,13,4,3,2021,2,3,868598.83
16,17,4,1,1994,2,10,1019818.23
17,20,5,1,2021,1,5,1059630.49
20,20,2,1,1968,2,7,1032795.43
7,15,3,2,2012,2,5,559219.42
7,22,5,3,1987,1,5,694969.85
10,21,3,2,2016,0,9,854504.93
5,20,2,3,2008,1,3,449464.48
15,34,4,3,2018,0,6,1429199.75
7,23,1,3,1962,1,1,378322.54
12,31,4,3,1996,1,10,1258930.72
16,29,5,3,2010,2,5,1370856.49
5,33,1,3,1980,1,8,648657.75
16,14,5,3,1971,1,5,804738.33
13,34,2,2,1992,0,9,1216086.97
5,20,1,1,2016,2,6,478565.54
5,37,5,1,2003,0,8,786253.18
17,16,2,2,1959,0,10,859870.85
8,23,4,2,1991,2,8,811585.96
6,30,2,2,2013,2,3,597793.18
5,21,3,2,1970,2,7,539633.76
16,23,2,3,2015,1,7,1120127.81
16,24,2,1,1990,2,10,1156220.6
12,32,3,3,1973,2,6,1112967.93
9,30,5,1,1984,2,7,935546.12
9,33,5,1,2005,0,2,836462.64
16,24,2,2,1979,0,9,1077104.86
6,28,3,3,2006,1,10,819841.9
19,15,3,2,1996,0,10,991228.98
10,38,4,3,1984,1,1,981411.52
14,13,5,1,1968,0,1,512766.91
5,33,1,2,1957,2,3,432271.83
11,15,5,2,1975,0,3,580130.02
18,16,5,1,2020,1,1,860535.34
5,17,4,1,1979,0,7,475353.43
17,18,1,1,1956,2,4,731201.69
9,11,4,2,2016,1,10,726256.67
18,24,1,3,2014,2,2,1063428.42
6,28,2,2,1985,2,10,725291.08
7,29,1,3,1974,1,5,608824.72
19,22,4,2,1986,2,6,1195765.37
16,28,5,2,1950,2,9,1323140.0
7,32,1,1,1964,0,4,520732.38
11,37,1,3,1986,2,2,965271.71
10,27,3,2,1962,2,5,775532.06
13,40,5,2,1957,2,3,1278851.53
16,26,2,1,1954,2,2,895534.85
18,29,4,1,2009,1,1,1260563.99
15,32,2,3,2022,0,10,1426140.94
8,31,5,2,1950,2,2,693542.61
8,27,1,3,1985,2,6,703731.81
12,25,1,2,1984,1,8,881853.17
13,10,5,3,2015,2,3,651161.43
9,34,1,1,2012,1,9,947537.25
14,39,1,2,1972,0,9,1356582.09
14,13,1,3,1958,0,2,408570.3
17,35,4,1,1983,2,8,1579577.87
18,39,4,1,1995,2,10,1879607.85
19,21,3,3,1953,2,5,1064830.51
15,17,2,2,1979,1,4,708538.02
8,23,5,2,2021,2,10,946223.31
5,12,5,1,1952,2,5,384621.75
5,25,5,2,1963,0,4,511150.35
5,21,3,2,2009,2,8,643137.86
18,19,4,2,1994,0,4,967150.48
14,35,3,1,1983,2,10,1424527.31
8,14,5,3,1994,0,6,637708.91
11,33,2,2,2010,2,2,947355.66
11,29,1,1,1965,0,5,747540.02
7,36,4,1,2015,1,6,880513.91
14,36,4,3,1989,0,5,1332847.31
15,32,3,2,1966,0,2,1089589.69
12,11,4,2,1983,0,7,602271.75
5,33,5,3,1965,2,4,657631.81
11,37,5,3,2009,2,8,1347146.36
7,19,3,1,2015,2,7,646818.74
18,32,5,1,2015,1,7,1615146.59
16,15,2,3,1962,1,9,795327.35
11,14,3,2,2005,0,1,484862.6
13,18,2,1,1980,1,10,791872.84
8,28,1,1,1983,0,6,609280.68
8,39,2,2,1988,0,6,880889.51
20,37,1,1,2016,0,6,1712642.8
11,22,1,2,1957,1,6,637222.55
10,32,2,2,2004,2,10,1070846.96
16,12,3,2,1976,1,7,702795.98
17,25,5,3,2002,0,10,1386696.33
11,38,5,3,1988,0,6,1234164.59
8,39,1,3,2014,1,1,782455.72
11,10,1,2,1966,0,3,285484.0
16,17,3,2,1979,0,2,713439.44
20,15,4,3,2002,1,6,1010339.19
14,19,2,1,1962,1,8,755748.57
10,14,1,2,1970,1,3,381864.54
17,40,5,1,1968,0,10,1769382.14
9,31,3,1,2002,0,8,910524.33
20,16,2,2,1968,2,8,938074.79
7,29,3,2,2006,2,5,736852.64
13,23,2,1,1974,1,8,871049.87
6,28,2,1,1980,2,6,584657.55
8,31,1,3,2004,0,5,721997.04
13,33,3,3,1972,2,9,1268654.99
8,34,3,2,1981,0,7,841250.55
13,27,5,3,2011,1,8,1217466.71
12,40,5,3,1959,1,1,1185654.54
14,13,1,3,2021,0,2,550049.82
