PROGRAMA,SEMESTRE,ÁREA,RIESGO_BASE,HORAS,RIESGO_POST_EST
ADMINISTRACION BANCARIA Y FINANCIERA-NEIVA,1.0,COMPETENCIA CIUDADANA,9.0,0.0,9.0
ADMINISTRACION BANCARIA Y FINANCIERA-NEIVA,1.0,INGLÉS,9.0,1.0,8.85
ADMINISTRACION BANCARIA Y FINANCIERA-NEIVA,1.0,LECTURA CRÍTICA,9.0,0.0,9.0
ADMINISTRACION BANCARIA Y FINANCIERA-NEIVA,1.0,RAZONAMIENTO CUANTITATIVO,9.0,0.0,9.0
ADMINISTRACION BANCARIA Y FINANCIERA-NEIVA,2.0,COMPETENCIA CIUDADANA,0.0,0.0,0.0
ADMINISTRACION BANCARIA Y FINANCIERA-NEIVA,2.0,INGLÉS,0.0,1.0,0.0
ADMINISTRACION BANCARIA Y FINANCIERA-NEIVA,2.0,LECTURA CRÍTICA,0.0,0.0,0.0
ADMINISTRACION BANCARIA Y FINANCIERA-NEIVA,2.0,RAZONAMIENTO CUANTITATIVO,0.0,0.0,0.0
ADMINISTRACION BANCARIA Y FINANCIERA-NEIVA,6.0,COMPETENCIA CIUDADANA,7.0,0.0,7.0
ADMINISTRACION BANCARIA Y FINANCIERA-NEIVA,6.0,INGLÉS,5.0,1.0,4.85
ADMINISTRACION BANCARIA Y FINANCIERA-NEIVA,6.0,LECTURA CRÍTICA,5.0,0.0,5.0
ADMINISTRACION BANCARIA Y FINANCIERA-NEIVA,6.0,RAZONAMIENTO CUANTITATIVO,5.0,0.0,5.0
ADMINISTRACION BANCARIA Y FINANCIERA-NEIVA,7.0,COMPETENCIA CIUDADANA,37.0,0.0,37.0
ADMINISTRACION BANCARIA Y FINANCIERA-NEIVA,7.0,INGLÉS,37.0,1.0,36.85
ADMINISTRACION BANCARIA Y FINANCIERA-NEIVA,7.0,LECTURA CRÍTICA,35.0,0.0,35.0
ADMINISTRACION BANCARIA Y FINANCIERA-NEIVA,7.0,RAZONAMIENTO CUANTITATIVO,36.0,0.0,36.0
ADMINISTRACION BANCARIA Y FINANCIERA-NEIVA,8.0,COMPETENCIA CIUDADANA,28.0,0.0,28.0
ADMINISTRACION BANCARIA Y FINANCIERA-NEIVA,8.0,INGLÉS,28.0,1.0,27.85
ADMINISTRACION BANCARIA Y FINANCIERA-NEIVA,8.0,LECTURA CRÍTICA,29.0,0.0,29.0
ADMINISTRACION BANCARIA Y FINANCIERA-NEIVA,8.0,RAZONAMIENTO CUANTITATIVO,26.0,0.0,26.0
ADMINISTRACION BANCARIA Y FINANCIERA-NEIVA,9.0,COMPETENCIA CIUDADANA,30.0,0.0,30.0
ADMINISTRACION BANCARIA Y FINANCIERA-NEIVA,9.0,INGLÉS,30.0,1.0,29.85
ADMINISTRACION BANCARIA Y FINANCIERA-NEIVA,9.0,LECTURA CRÍTICA,29.0,0.0,29.0
ADMINISTRACION BANCARIA Y FINANCIERA-NEIVA,9.0,RAZONAMIENTO CUANTITATIVO,29.0,0.0,29.0
ADMINISTRACION BANCARIA Y FINANCIERA-NEIVA,10.0,COMPETENCIA CIUDADANA,31.0,0.0,31.0
ADMINISTRACION BANCARIA Y FINANCIERA-NEIVA,10.0,INGLÉS,37.0,1.0,36.85
ADMINISTRACION BANCARIA Y FINANCIERA-NEIVA,10.0,LECTURA CRÍTICA,35.0,0.0,35.0
ADMINISTRACION BANCARIA Y FINANCIERA-NEIVA,10.0,RAZONAMIENTO CUANTITATIVO,34.0,0.0,34.0
ADMINISTRACION BANCARIA Y FINANCIERA-PITALITO,1.0,COMPETENCIA CIUDADANA,0.0,0.0,0.0
ADMINISTRACION BANCARIA Y FINANCIERA-PITALITO,1.0,INGLÉS,1.0,1.0,0.85
ADMINISTRACION BANCARIA Y FINANCIERA-PITALITO,1.0,LECTURA CRÍTICA,0.0,0.0,0.0
ADMINISTRACION BANCARIA Y FINANCIERA-PITALITO,1.0,RAZONAMIENTO CUANTITATIVO,0.0,0.0,0.0
ADMINISTRACION BANCARIA Y FINANCIERA-PITALITO,4.0,COMPETENCIA CIUDADANA,0.0,0.0,0.0
ADMINISTRACION BANCARIA Y FINANCIERA-PITALITO,4.0,INGLÉS,0.0,1.0,0.0
ADMINISTRACION BANCARIA Y FINANCIERA-PITALITO,4.0,LECTURA CRÍTICA,0.0,0.0,0.0
ADMINISTRACION BANCARIA Y FINANCIERA-PITALITO,4.0,RAZONAMIENTO CUANTITATIVO,0.0,0.0,0.0
ADMINISTRACION BANCARIA Y FINANCIERA-PITALITO,7.0,COMPETENCIA CIUDADANA,4.0,0.0,4.0
ADMINISTRACION BANCARIA Y FINANCIERA-PITALITO,7.0,INGLÉS,3.0,1.0,2.85
ADMINISTRACION BANCARIA Y FINANCIERA-PITALITO,7.0,LECTURA CRÍTICA,4.0,0.0,4.0
ADMINISTRACION BANCARIA Y FINANCIERA-PITALITO,7.0,RAZONAMIENTO CUANTITATIVO,4.0,0.0,4.0
ADMINISTRACION BANCARIA Y FINANCIERA-PITALITO,10.0,COMPETENCIA CIUDADANA,1.0,0.0,1.0
ADMINISTRACION BANCARIA Y FINANCIERA-PITALITO,10.0,INGLÉS,1.0,1.0,0.85
ADMINISTRACION BANCARIA Y FINANCIERA-PITALITO,10.0,LECTURA CRÍTICA,2.0,0.0,2.0
ADMINISTRACION BANCARIA Y FINANCIERA-PITALITO,10.0,RAZONAMIENTO CUANTITATIVO,2.0,0.0,2.0
ADMINISTRACION COMERCIAL-NEIVA,1.0,COMPETENCIA CIUDADANA,24.0,0.0,24.0
ADMINISTRACION COMERCIAL-NEIVA,1.0,INGLÉS,25.0,1.0,24.85
ADMINISTRACION COMERCIAL-NEIVA,1.0,LECTURA CRÍTICA,23.0,0.0,23.0
ADMINISTRACION COMERCIAL-NEIVA,1.0,RAZONAMIENTO CUANTITATIVO,23.0,0.0,23.0
ADMINISTRACION COMERCIAL-NEIVA,2.0,COMPETENCIA CIUDADANA,0.0,0.0,0.0
ADMINISTRACION COMERCIAL-NEIVA,2.0,INGLÉS,0.0,1.0,0.0
ADMINISTRACION COMERCIAL-NEIVA,2.0,LECTURA CRÍTICA,0.0,0.0,0.0
ADMINISTRACION COMERCIAL-NEIVA,2.0,RAZONAMIENTO CUANTITATIVO,0.0,0.0,0.0
ADMINISTRACION COMERCIAL-NEIVA,3.0,COMPETENCIA CIUDADANA,1.0,0.0,1.0
ADMINISTRACION COMERCIAL-NEIVA,3.0,INGLÉS,1.0,1.0,0.85
ADMINISTRACION COMERCIAL-NEIVA,3.0,LECTURA CRÍTICA,1.0,0.0,1.0
ADMINISTRACION COMERCIAL-NEIVA,3.0,RAZONAMIENTO CUANTITATIVO,1.0,0.0,1.0
ADMINISTRACION COMERCIAL-NEIVA,4.0,COMPETENCIA CIUDADANA,7.0,0.0,7.0
ADMINISTRACION COMERCIAL-NEIVA,4.0,INGLÉS,8.0,1.0,7.85
ADMINISTRACION COMERCIAL-NEIVA,4.0,LECTURA CRÍTICA,8.0,0.0,8.0
ADMINISTRACION COMERCIAL-NEIVA,4.0,RAZONAMIENTO CUANTITATIVO,7.0,0.0,7.0
ADMINISTRACION COMERCIAL-NEIVA,5.0,COMPETENCIA CIUDADANA,10.0,0.0,10.0
ADMINISTRACION COMERCIAL-NEIVA,5.0,INGLÉS,9.0,1.0,8.85
ADMINISTRACION COMERCIAL-NEIVA,5.0,LECTURA CRÍTICA,10.0,0.0,10.0
ADMINISTRACION COMERCIAL-NEIVA,5.0,RAZONAMIENTO CUANTITATIVO,9.0,0.0,9.0
ADMINISTRACION COMERCIAL-NEIVA,6.0,COMPETENCIA CIUDADANA,11.0,0.0,11.0
ADMINISTRACION COMERCIAL-NEIVA,6.0,INGLÉS,12.0,1.0,11.85
ADMINISTRACION COMERCIAL-NEIVA,6.0,LECTURA CRÍTICA,11.0,0.0,11.0
ADMINISTRACION COMERCIAL-NEIVA,6.0,RAZONAMIENTO CUANTITATIVO,12.0,0.0,12.0
ADMINISTRACION COMERCIAL-NEIVA,7.0,COMPETENCIA CIUDADANA,19.0,0.0,19.0
ADMINISTRACION COMERCIAL-NEIVA,7.0,INGLÉS,22.0,1.0,21.85
ADMINISTRACION COMERCIAL-NEIVA,7.0,LECTURA CRÍTICA,20.0,0.0,20.0
ADMINISTRACION COMERCIAL-NEIVA,7.0,RAZONAMIENTO CUANTITATIVO,20.0,0.0,20.0
ADMINISTRACION COMERCIAL-NEIVA,8.0,COMPETENCIA CIUDADANA,15.0,0.0,15.0
ADMINISTRACION COMERCIAL-NEIVA,8.0,INGLÉS,16.0,1.0,15.85
ADMINISTRACION COMERCIAL-NEIVA,8.0,LECTURA CRÍTICA,14.0,0.0,14.0
ADMINISTRACION COMERCIAL-NEIVA,8.0,RAZONAMIENTO CUANTITATIVO,14.0,0.0,14.0
ADMINISTRACION COMERCIAL-NEIVA,9.0,COMPETENCIA CIUDADANA,15.0,0.0,15.0
ADMINISTRACION COMERCIAL-NEIVA,9.0,INGLÉS,18.0,1.0,17.85
ADMINISTRACION COMERCIAL-NEIVA,9.0,LECTURA CRÍTICA,14.0,0.0,14.0
ADMINISTRACION COMERCIAL-NEIVA,9.0,RAZONAMIENTO CUANTITATIVO,15.0,0.0,15.0
ADMINISTRACION COMERCIAL-NEIVA,10.0,COMPETENCIA CIUDADANA,8.0,0.0,8.0
ADMINISTRACION COMERCIAL-NEIVA,10.0,INGLÉS,6.0,1.0,5.85
ADMINISTRACION COMERCIAL-NEIVA,10.0,LECTURA CRÍTICA,7.0,0.0,7.0
